state,room_id,name,city,person_cap,bedrooms,bathrooms,amenities,reviews,prop_type,guests,star,avg_rating,min_nights,max_nights,price
Alabama,17457487,Cute cottage with a view,Hartselle,4,1,1.0,,270,Entire guesthouse,4 guests,5.0,4.96,2,1125,57.0
Alabama,35236691,Lake Oliver-10 mins to North or Downtown Columbus,Smiths Station,6,2,1.0,,67,Entire house,6 guests,5.0,4.97,1,1125,99.0
Alabama,23311493,Fort Morgan - Private Room $50 Pool &amp; Beach,Gulf Shores,2,1,1.0,,64,Private room in house,2 guests,5.0,4.92,1,3,42.0
Alabama,24080322,Cozy Avondale Cottage,Birmingham,4,3,1.0,,196,Entire cottage,4 guests,5.0,4.95,1,1125,60.0
Alabama,28982769,Storybook Castle BnB,Fairhope,3,2,1.0,,64,Castle,3 guests,5.0,4.95,2,30,98.0
Alabama,33211947,❤️Off-Grid Tiny Adventure | River | Hiking | Goats,Kimberly,6,3,1.0,,64,Tiny house,6 guests,5.0,5.0,1,7,69.0
Alabama,15882910,SUZY'S UAB APT. w. 5 min WALKING to EAT and SHOP,Birmingham,3,2,1.0,,261,Entire apartment,3 guests,5.0,4.8,2,1125,68.0
Alabama,29215845,⛺️Glamping “la Cabana ll” Beach &amp; Pool ,Gulf Shores,4,1,1.5,,45,Private room in yurt,4 guests,5.0,4.93,1,3,50.0
Alabama,23000072,Direct Gulf Front Studio on the Beach.,Orange Beach,3,2,1.0,,107,Entire condominium,3 guests,5.0,4.96,3,14,95.0
Alabama,4075302,Rustic Rural Cabin,Loxley,4,1,1.0,,403,Entire cabin,4 guests,5.0,4.97,2,28,59.0
Alabama,10248445,Beautiful cabin on private lake!,Berry,7,0,2.0,,214,Entire cabin,7 guests,5.0,4.95,2,1125,165.0
Alabama,15230118,The Cabin,Wetumpka,8,6,1.0,,229,Entire cabin,8 guests,5.0,4.91,1,1125,120.0
Alabama,28715593,Bayside Bliss,Fairhope,2,2,1.0,,96,Entire guest suite,2 guests,5.0,4.9,1,1125,76.0
Alabama,1004344,The Cottage at The Winchester Manor,New Market,2,1,1.0,,294,Entire cottage,2 guests,5.0,4.89,2,1125,99.0
Alabama,26559775,Sunny Gulf getaway for a family-friendly price,Dauphin Island,4,2,1.5,,102,Entire house,4 guests,5.0,4.94,2,30,47.0
Alabama,20870274,"Avondale Mid-Century Modern, Adorable Inside &amp; Out",Birmingham,5,2,1.0,,227,Entire house,5 guests,5.0,4.91,1,1124,70.0
Alabama,20616260,Serene Studio Library Retreat,Mentone,2,1,1.0,,166,Entire cabin,2 guests,5.0,4.9,1,1125,75.0
Alabama,19429010,VERY Affordable Family Fun - Steps From The Beach!,Gulf Shores,5,3,1.0,,175,Entire condominium,5 guests,5.0,4.97,1,1125,45.0
Alabama,15923462,Architectural digest MOST BEAUTIFUL AIRBNB IN BAMA,Birmingham,16,7,2.5,,158,Entire house,16+ guests,4.5,4.67,1,1125,94.0
Alabama,10677326,"Cozy Carriage House in Downtown Florence, AL",Florence,2,1,1.0,,348,Entire guesthouse,2 guests,5.0,4.94,1,14,69.0
Alabama,13055845,MEADOW LAKE CABIN,Chelsea,4,1,1.0,,230,Entire cabin,4 guests,5.0,4.97,1,1125,98.0
Alabama,26441170,Live Oak Loft—Historic Midtown,Mobile,4,1,1.0,,150,Entire loft,4 guests,5.0,4.99,1,1125,78.0
Alabama,27400650,Cozy Auburn Private Guest Suite,Auburn,5,3,1.0,,177,Entire guest suite,5 guests,5.0,4.88,1,7,55.0
Alabama,6363393,Cozy Studio by Beach with King-sized Bed &amp; Queen,Gulf Shores,4,2,1.0,,244,Entire apartment,4 guests,5.0,4.81,1,1125,55.0
Alabama,5696702,"Rest Easy: Tranquil Serenity, Little River access",Mentone,6,2,2.5,,71,Entire cabin,6 guests,5.0,4.96,2,1125,109.0
Alabama,17205815,Private Guest House in Central Huntsville,Huntsville,3,2,1.0,,170,Entire guesthouse,3 guests,5.0,4.9,2,1125,58.0
Alabama,16897981,'Osprey's Nest' in Charming Historic Midtown,Mobile,2,1,1.0,,294,Entire apartment,2 guests,5.0,4.93,1,120,75.0
Alabama,16577952,Private Apartment in Historic Home Steps From UAB!,Birmingham,2,1,1.0,,422,Entire apartment,2 guests,5.0,4.94,1,1125,55.0
Alabama,17044850,"Large, artsy ensuite near downtown w/private entry",Montgomery,2,1,1.0,,437,Private room in guest suite,2 guests,5.0,4.96,1,1125,52.0
Alabama,5288236,PENTHOUSE HIDEAWAY: ROMANTIC HAVEN!,Gulf Shores,3,1,1.0,,108,Entire condominium,3 guests,5.0,4.88,2,1124,84.0
Alabama,12760435,Charming historic Tudor home,Birmingham,16,6,2.5,,289,Entire house,16+ guests,4.5,4.66,1,1125,69.0
Alabama,13231569,Southern Comfort in Fairhope/Historic Montrose,Fairhope,3,1,1.0,,157,Entire guesthouse,3 guests,5.0,4.97,14,1125,60.0
Alabama,16275642,1880's Victorian-era home overlooking downtown,Montgomery,2,1,1.0,,336,Private room in house,2 guests,4.5,4.71,1,1125,45.0
Alabama,8787952,Personal Studio in SE Huntsville-No Cleaning Fee,Huntsville,2,1,1.0,,224,Entire guesthouse,2 guests,5.0,4.91,1,60,60.0
Alabama,18754590,Relaxing and Bright studio on the beach (63),Gulf Shores,4,2,1.0,,210,Entire condominium,4 guests,5.0,4.85,1,365,19.0
Alabama,24202720,Minihome In Cullman - Stargazer,Cullman,5,3,1.0,,205,Tiny house,5 guests,5.0,5.0,1,1124,69.0
Alabama,22583174,Stylish Studio in Historic Downtown Loft District,Birmingham,2,1,1.0,,220,Entire loft,2 guests,5.0,5.0,1,120,89.0
Alabama,24221564,The A-Frame,Pike Road,5,3,1.0,,125,Entire cabin,5 guests,5.0,4.85,1,1125,100.0
Alabama,30535682,Glamping/Camping - “la Cabana” Fort Morgan,Gulf Shores,4,1,1.0,,43,Private room in yurt,4 guests,5.0,4.8,1,3,50.0
Alabama,18180387,"Quaint, pet-friendly, Midtown Studio.",Mobile,3,2,1.0,,368,Entire guesthouse,3 guests,5.0,4.84,1,30,52.0
Alabama,21728392,BEST DAMN AIRBNB @ Vulcan House by UAB,Birmingham,2,1,1.5,,254,Private room in house,2 guests,5.0,4.87,1,14,34.0
Alabama,17459957,The Zelda Suite,Montgomery,4,3,1.0,,121,Entire house,4 guests,5.0,4.74,1,14,80.0
Alabama,29656157,Historic Dauphin Street Guest Cottage,Mobile,2,1,1.0,,135,Entire guesthouse,2 guests,5.0,4.96,1,1125,39.0
Alabama,19140410,Wisteria Cottage Perfect for Two,Gulf Shores,2,1,1.0,,116,Entire guesthouse,2 guests,5.0,4.95,2,14,75.0
Alabama,22565296,Charming Cottage - Historic Midtown,Mobile,3,1,1.0,,146,Entire guesthouse,3 guests,5.0,5.0,1,1125,99.0
Alabama,23550042,"Modern cottage, WALK  to Beach, Hangout! POOL!",Gulf Shores,8,3,3.0,,67,Entire cottage,8 guests,5.0,4.93,2,30,87.0
Alabama,21531195,"Charming, Pet Friendly, Midtown Condo.",Mobile,4,2,1.0,,201,Entire condominium,4 guests,5.0,4.96,1,14,66.0
Alabama,22089090,"New, modern home with a southern twist!",Birmingham,4,3,1.0,,138,Entire house,4 guests,5.0,4.78,2,1125,75.0
Alabama,14298928,Beachside STUDIO Condo with Side-Facing Balcony,Orange Beach,3,1,1.0,,105,Entire condominium,3 guests,5.0,4.85,2,60,49.0
Alabama,29384569,Henry's House: A Cute Lil' Ol' Beach Shack,Dauphin Island,4,3,2.0,,25,Entire house,4 guests,5.0,4.92,4,31,105.0
Alabama,23914921,"Regency Isle, Beach Front Condo,Huge Balcony",Orange Beach,6,3,2.5,,98,Entire condominium,6 guests,5.0,4.96,1,1125,90.0
Alabama,21395170,Treehouse at Cottage Hill,Montgomery,4,2,1.0,,299,Entire apartment,4 guests,5.0,4.96,1,1125,80.0
Alabama,26499386,Beachfront Corner Unit! Newly Renovated!,Gulf Shores,4,1,1.0,,104,Entire condominium,4 guests,5.0,4.8,1,1125,35.0
Alabama,21120681,Old Town Garden Cottage in downtown Huntsville,Huntsville,4,2,1.0,,101,Entire cottage,4 guests,5.0,5.0,1,1125,85.0
Alabama,16692572,Cabin on Honeycomb Creek,Grant,6,4,1.0,,111,Entire cabin,6 guests,5.0,4.97,2,365,118.0
Alabama,18235673,"Luxury Studio Suite, Five Points So. UAB District",Birmingham,2,1,1.0,,301,Entire guest suite,2 guests,5.0,4.91,1,30,48.0
Alabama,15353292,'Mariner's Mainstay' in Beautiful Historic Midtown,Mobile,2,1,1.0,,235,Entire apartment,2 guests,5.0,4.96,1,120,75.0
Alabama,24783908,DETACHED Guest House + PRIVATE Pool by USA Campus,Mobile,4,3,1.0,,116,Entire guest suite,4 guests,5.0,4.91,2,31,50.0
Alabama,23358907,The Wedgewood Cottage,Madison,6,4,2.0,,109,Entire house,6 guests,5.0,4.98,2,365,99.0
Alabama,16193359,Charming cabin on Hillcrest Farm,Elberta,4,2,1.0,,123,Entire guest suite,4 guests,5.0,4.96,2,1125,85.0
Alabama,20859304,Recharge &amp; Unwind at Midtown Traveler's Retreat,Mobile,4,3,1.5,,268,Private room in house,4 guests,5.0,4.99,1,1125,49.0
Alabama,18330339,2-bedroom apt./incredible location-UAB/Downtown,Birmingham,4,3,1.5,,279,Entire apartment,4 guests,5.0,4.9,1,7,84.0
Alabama,14075243,Pup-friendly Villa! #17,Gulf Shores,6,3,1.0,,107,Entire bungalow,6 guests,5.0,4.93,1,1125,100.0
Alabama,18850432,Church Street Retreat,Fairhope,3,2,1.0,,161,Entire guesthouse,3 guests,5.0,4.91,1,14,99.0
Alabama,30886171,"Lots of Room, Pets and Kids welcome Near DT",Mobile,5,2,2.0,,87,Entire house,5 guests,5.0,4.86,1,1125,75.0
Alabama,24750547,'Owl's Nest' kids&amp;pets OK  near DT top rated,Mobile,4,2,1.0,,142,Entire cottage,4 guests,5.0,4.88,1,1125,70.0
Alabama,22517177,Cozy Gulf Shores Getaway,Gulf Shores,6,3,1.0,,93,Entire condominium,6 guests,5.0,4.75,1,90,45.0
Alabama,27173762,Pet friendly! POOL! 5 min WALK to beach/Hangout!,Gulf Shores,10,4,4.0,,55,Entire cottage,10 guests,5.0,4.98,2,60,82.0
Alabama,12601586,Beach Cottage close to beach+pool!!,Gulf Shores,4,3,1.0,,171,Entire house,4 guests,5.0,4.73,1,1125,89.0
Alabama,12601586,Beach Cottage close to beach+pool!!,Gulf Shores,4,3,1.0,,171,Entire house,4 guests,5.0,4.73,1,1125,89.0
Alabama,15037918,Simple House In Medical District!,Huntsville,6,1,1.0,,220,Entire house,6 guests,4.5,4.6,1,1125,65.0
Alabama,5622506,Great Beach Access !!!,Gulf Shores,6,3,1.0,,62,Entire townhouse,6 guests,5.0,4.81,5,90,55.0
Alabama,15407732,Bungalow in Old Town short walk to downtown!,Huntsville,4,2,1.0,,233,Entire bungalow,4 guests,5.0,4.97,1,1125,95.0
Alabama,15449009,Family Friendly - 2BR/2BA Condo Steps from BEACH,Gulf Shores,6,3,2.0,,117,Entire condominium,6 guests,5.0,4.96,3,91,57.0
Alabama,33779896,Historic Oakleigh Cottage,Mobile,5,3,1.0,,82,Entire cottage,5 guests,5.0,4.83,1,1125,59.0
Alabama,22013342,BEAUTIFUL BEACHFRONT W/GREAT FALL/WINTER RATES,Gulf Shores,7,4,1.0,,90,Entire condominium,7 guests,5.0,4.82,1,1125,76.0
Alabama,15755644,Historic Carriage House Retreat - Great location!,Birmingham,1,1,1.0,,261,Entire guesthouse,1 guest,5.0,4.97,1,90,65.0
Alabama,29778236,Boho House 163– Eclectic Midtown Abode,Mobile,4,2,1.0,,97,Entire house,4 guests,5.0,5.0,1,1125,95.0
Alabama,21025342,"Prices lowered for Fall,  2 bedroom condo on Bay",Orange Beach,6,3,2.0,,100,Entire condominium,6 guests,5.0,4.89,2,120,59.0
Alabama,21189960,"“The Blue Mermaid,” cozy Midtown Mobile apartment",Mobile,4,3,1.0,,174,Entire apartment,4 guests,5.0,4.73,1,1125,58.0
Alabama,22610410,BV318 - Hangout Across from the Hangout!,Gulf Shores,2,1,1.0,,122,Entire condominium,2 guests,5.0,4.84,2,1125,53.0
Alabama,21645687,★★★ Charming Cottage | Close to Everything ★★★,Prattville,7,4,2.0,,225,Entire house,7 guests,5.0,4.97,1,21,129.0
Alabama,20175073,Private Bed/bath Pool Around the corner from Beach,Fort Morgan near Gulf Shores,2,1,1.0,,81,Entire guest suite,2 guests,5.0,4.84,2,5,70.0
